school,date,category,description,details,lat,lng
Santa Monica College,"
05/06/2020
  ","
ANTISEMITIC EXPRESSION
  ","
The student newspaper, The Corsair, quoted an SJP board member equating Zionism to ethnic cleansing.
  ",#incident/search/display-by-date/search/details/5eb3192744972e0016342cb2?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.0165568,-118.4703948
George Washington University,"
04/28/2020
  ","
ANTISEMITIC EXPRESSION
  ","
The newly-elected student association president issued an expression of solidarity [1] with GW Students of Color's statement titled ""Denounce Racism Within the GW Left"" that included a paragraph on Zionism stating, ""Zionism is racism, point-blank, period"".
  ",#incident/search/display-by-date/search/details/5ea85e66d914220015c19d3a?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
Ohio University,"
04/27/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A wall and sidewalk near Baker University Center used for campus graffiti free speech was vandalized with 11 spray-painted swastikas, a depiction of Hitler, and a racial slur.
  ",#incident/search/display-by-date/search/details/5eb30c54e26b390015f011df?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.324358,-82.10138889999999
Western Washington University,"
04/25/2020
  ","
ANTISEMITIC EXPRESSION
  ","
WWU SUPER issued a statement titled ""SUPER COVID-19 Response"" from its board members that included the remark, ""Every spring, we host an event for Israeli Apartheid Week on campus [which] is a week that aims to bring awareness to the ongoing apartheid in Israel and the ethnic cleansing of Palestine and celebrating ongoing Palestinian resistance and struggle against settler colonialism [that] takes place the week of May 15th to remember the ethnic cleansing of Palestine known as the Nakba or Catastrophe, which occurred on May 15, 1948"".
  ",#incident/search/display-by-date/search/details/5ea700921e5b4e0016820107?ref=view_279_per_page%3D1000%26view_279_page%3D1,48.7342877,-122.4866103
Tufts University,"
04/24/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held [1] a Zoom screening and discussion of Part 1 of ""The Lobby,"" where Part 1 includes [2] a speaker who expressed support for BDS and condoned the elimination of the Jewish state.
  ",#incident/search/display-by-date/search/details/5ea73f99c0c5a90015f3c4b0?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.4074843,-71.1190232
George Washington University,"
04/23/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Students Against Imperialism at GW released the statement, ""GW Students of Color Denounce Racism Within the GW Left"" that included a paragraph on Zionism that stated, ""Zionism is racism, point-blank, period"".
  ",#incident/search/display-by-date/search/details/5ea32c7d0311b800155c714c?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
George Washington University,"
04/23/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
JVP at GW issued a public statement of solidarity with GW Students of Color expressing that ""Zionism is an inherently violent, racist philosophy that should not be allowed in our leftist organizing spaces"".
  ",#incident/search/display-by-date/search/details/5ea32b16330311001580db1b?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
University of Massachusetts Amherst,"
04/21/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
On Holocaust Memorial Day (Yom Hashoah), the campus Hillel was defaced with Arabic writing in red spray paint stating ""Palestine"" [1].
  ",#incident/search/display-by-date/search/details/5e9f680081e1ed001541cbea?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
Harvard University,"
04/21/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Harvard Palestine Solidarity Committee published and promoted a statement titled ""Unmasking Zionism"" that demonized Israel and Zionism throughout.
  ",#incident/search/display-by-date/search/details/5ea73d95b7eea20015941814?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3770029,-71.11666009999999
University of Maryland,"
04/20/2020
  ","
BDS ACTIVITY
  ","
SJP directed it's followers to fill out a bingo card and tag them on social media, where the boxes included, ""Has a boycott Israelfest sticker"" and ""Spoke at the divestment hearing"".
  ",#incident/search/display-by-date/search/details/5ea22b7ee915f10017595022?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.9864552,-76.95399309999999
