Name,City,State
Santa Monica College,Santa Monica,CA
George Washington University,Washington,DC
Ohio University,Athens,OH
Western Washington University,Bellingham,WA
Tufts University,Medford,MA
University of Massachusetts Amherst,Amherst,MA
Harvard University,Cambridge,MA
University of Maryland,Adelphi,MD
University of California Santa Barbara,Isla Vista,CA
University of Iowa,Iowa City,IA
University of California Berkeley,Berkeley,CA
Bard College,Annandale-On-Hudson,NY
San Francisco State University,San Francisco,CA
University of Miami,Coral Gables,FL
Rutgers University - Newark,Newark,NJ
"University of Florida, Gainesville",Gainesville,FL
Yeshiva University,New York,NY
Columbia University/Barnard College,New York,NY
University of Illinois Urbana Champaign,Urbana,IL
Yale University,New Haven,CT
Florida State University,Tallahassee,FL
Brown University,Providence,RI
Johns Hopkins University,Baltimore,MD
Northeastern University,Boston,MA
CUNY Queens College,Flushing,NY
University of California Los Angeles,Los Angeles,CA
University of California Davis,,
Georgetown University,Washington,DC
Middlebury College,Middlebury,VT
Wesleyan University,Middletown,CT
University of Chicago,Chicago,IL
Rice University,Houston,TX
Duke University,Durham,NC
Irvine Valley College,Irvine,CA
CUNY School of Law,Long Island City,NY
Boston University,Boston,MA
University of San Francisco,San Francisco,CA
Orange Coast College,Costa Mesa,CA
Rutgers University - New Brunswick,New Brunswick,NJ
Vassar College,Poughkeepsie,NY
Eastern Illinois University,Charleston,IL
San Diego State University,San Diego,CA
University of Michigan,Ann Arbor,MI
Ohio State University,Columbus,OH
Butler University,Indianapolis,IN
Michigan State University,Lansing,MI
Florida Atlantic University,Boca Raton,FL
Boston College,Chestnut Hill,MA
University of California Riverside,Riverside,CA
Iowa State University,Ames,IA
Drexel University,Philadelphia,PA
University of Washington,St. Louis,MO
"University of Colorado, Denver",Denver,CO
Stanford University,Stanford,CA
Worcester State University,Worcester,MA
University of North Carolina Chapel Hill,Chapel Hill,NC
Syracuse University,Syracuse,NY
Grand Valley State University,Allendale,MI
Marshall University,Huntington,WV
Emerson College,Boston,MA
University of Montana,Missoula,MT
Northwestern University,Evanston,IL
Massachusetts Institute of Technology,Cambridge,MA
"University of North Carolina, Wilmington",Wilmington,NC
Georgia Institute of Technology,Atlanta,GA
American Jewish University,Los Angeles,CA
CSU Fullerton,Fullerton,CA
Indiana University,Bloomington,IN
Temple University,Philadelphia,PA
University of Vermont,Burlington,VT
Princeton University,Princeton,NJ
Dickinson College,Carlisle,PA
Wheaton College,Wheaton,IL
Columbus State Community College,Columbus,OH
Occidental College,Los Angeles,CA
Arizona State University,Tempe,AZ
University of Connecticut,Storrs,CT
SUNY Buffalo,Buffalo,NY
Swarthmore College,Swarthmore,PA
Whitman College,Walla Walla,WA
University of Georgia,Athens,GA
University at Albany,Albany,NY
Emory University,Oxford,GA
Fordham University,The Bronx,NY
Oberlin College,Oberlin,OH
Hampshire College,Amherst,MA
Lesley University,Cambridge,MA
SUNY Binghamton,Vestal,NY
